species,decimalLatitude,decimalLongitude
ambiguus,31.24166,-108.99495
ambiguus,31.371049,-108.934998
ambiguus,31.25617,-111.92206
ambiguus,31.219689,-108.95511
ambiguus,30.778611,-110.915
ambiguus,31.305278,-108.887222
ambiguus,30.0797053,-108.1306522
balsensis,17.762895,-99.376414
balsensis,17.55,-99.5
balsensis,17.55,-99.5
balsensis,17.55,-99.5
balsensis,17.561619,-98.934363
balsensis,17.5,-99.5
balsensis,17.5,-99.5
balsensis,17.5,-99.5
balsensis,17.5,-99.5
balsensis,17.55,-99.5
balsensis,17.55,-99.5
balsensis,17.55,-99.5
balsensis,17.538852,-99.413498
balsensis,17.571939,-98.190421
balsensis,17.57611,-99.59722
balsensis,17.38611,-99.51667
balsensis,17.835,-99.74472
balsensis,17.39167,-99.525
balsensis,17.58778,-99.01833
balsensis,17.58778,-99.01833
balsensis,17.30022,-98.01694
balsensis,17.589444,-99.288333
balsensis,17.052778,-98.669722
balsensis,17.4655661,-99.2815515
balsensis,17.36667,-97.83333
balsensis,16.244444,-96.272222
balsensis,17.3,-97.85
balsensis,17.63972,-99.7294
balsensis,17.56472,-99.5525
balsensis,17.217,-97.717
balsensis,16.278333,-96.301389
balsensis,17.375,-97.841667
balsensis,17.457222,-99.486111
balsensis,17.375,-97.841667
balsensis,17.326389,-97.718056
balsensis,17.5886099,-99.3663959
balsensis,17.184091,-97.946763
balsensis,22.08333,-101
balsensis,17.71667,-97.16667
balsensis,17.31,-98.09778
balsensis,17.36667,-97.83333
balsensis,17.166667,-97.914722
balsensis,17.6,-99.45
balsensis,17.526139,-99.475764
balsensis,17.543552,-99.4697
balsensis,17.592649,-99.117966
balsensis,17.537806,-99.473583
balsensis,17.563889,-99.046111
balsensis,17.261389,-98.001389
balsensis,17.308333,-97.858333
balsensis,17.325833,-97.804444
balsensis,17.285833,-97.849444
balsensis,17.5583877,-99.2508891
balsensis,17.366667,-97.833333
balsensis,17.716667,-97.166667
balsensis,17.414992,-97.60765
balsensis,17.310386,-97.712886
balsensis,17.309889,-98.097861
balsensis,22.083333,-101
balsensis,17.3733421,-98.4427965
balsensis,17.4984942,-98.3839765
balsensis,17.835,-99.744722
balsensis,17.845,-99.764167
balsensis,17.64,-99.729722
balsensis,17.695,-99.534722
balsensis,17.635,-99.768056
balsensis,17.461667,-98.385
balsensis,17.461667,-98.385
balsensis,17.576111,-99.597222
balsensis,17.357222,-99.481111
balsensis,17.241111,-98.673611
balsensis,17.28,-97.87
barbatus,27.194722,-103.779444
barbatus,20.2,-98.716667
barbatus,20.847192,-100.920762
barbatus,20.847182,-100.920747
barbatus,21.922381,-101.887042
barbatus,23.919394,-104.998211
barbatus,19.46979,-99.258218
barbatus,17.547539,-97.312665
barbatus,21.281315,-99.878025
barbatus,20.953495,-100.134232
barbatus,21.025038,-101.227513
barbatus,21.379768,-101.636119
barbatus,21.004297,-101.380747
barbatus,20.528285,-101.903343
barbatus,21.260357,-101.324908
barbatus,17.11667,-96.3
barbatus,19.999997,-99.247607
barbatus,19.188333,-99.221944
barbatus,18.833333,-98
barbatus,18.066667,-96.533333
barbatus,32.266667,-114.816667
barbatus,27.400556,-99.946667
barbatus,21.313854,-102.122934
barbatus,19.9,-102.36667
barbatus,19.91,-101.764
barbatus,20.994838,-101.251543
barbatus,19.062666,-98.339495
barbatus,19.590219,-99.081772
barbatus,19.246033,-99.212836
barbatus,28.794666,-106.493268
barbatus,28.817829,-106.501304
barbatus,28.786316,-106.502495
barbatus,28.79083,-106.496572
barbatus,28.791973,-106.514847
barbatus,19.243849,-99.215315
barbatus,19.262135,-99.20735
barbatus,19.746123,-99.246644
barbatus,19.296956,-99.198315
barbatus,19.296218,-99.197104
barbatus,19.289467,-99.197423
barbatus,19.196111,-100.110278
barbatus,19.47388,-99.29615
barbatus,19.3258,-98.996703
barbatus,19.245768,-99.212063
barbatus,19.328329,-98.991069
barbatus,19.287955,-99.199583
barbatus,19.259361,-99.212156
barbatus,19.266189,-99.214171
barbatus,19.259686,-99.211328
barbatus,19.344387,-99.091782
barbatus,19.293797,-99.19857
barbatus,19.345042,-99.090093
barbatus,19.344519,-99.091812
barbatus,19.259556,-99.211623
barbatus,19.344525,-99.087919
barbatus,19.564553,-99.115526
barbatus,19.541328,-98.453615
barbatus,19.070836,-98.347928
barbatus,19.290643,-99.187248
barbatus,16.25499,-96.687135
barbatus,19.326577,-99.180476
barbatus,19.552244,-99.157325
barbatus,19.329171,-99.238895
barbatus,19.486088,-98.801987
barbatus,20.457121,-99.869348
barbatus,19.323433,-99.18463
barbatus,19.32328,-99.185167
barbatus,19.247364,-99.214244
barbatus,19.605073,-99.111937
barbatus,19.35202,-98.228067
barbatus,17.388663,-97.957367
barbatus,19.304454,-99.210572
barbatus,20.678475,-99.797902
barbatus,21.081375,-99.661887
barbatus,19.347559,-99.262246
barbatus,19.527634,-99.133974
barbatus,19.612276,-99.120476
barbatus,20.766267,-103.372313
barbatus,19.321201,-99.189257
barbatus,21.743311,-102.737522
barbatus,19.310295,-99.68838
barbatus,19.507528,-99.114258
barbatus,17.858617,-96.906848
barbatus,20.679084,-99.800209
barbatus,17.56032,-97.48275
barbatus,21.714047,-102.652412
barbatus,19.270036,-99.200807
barbatus,20.331583,-103.224785
barbatus,19.32727,-99.088578
barbatus,20.862599,-100.715631
barbatus,21.098583,-99.660481
barbatus,19.023456,-99.153542
barbatus,19.543354,-99.313905
barbatus,19.331147,-99.233349
barbatus,16.700838,-97.022388
barbatus,19.001341,-100.054423
barbatus,19.311829,-99.687616
barbatus,21.275278,-100.403611
barbatus,19.069217,-98.345603
barbatus,19.733638,-99.256553
barbatus,20.701151,-103.586835
barbatus,20.717679,-103.526698
barbatus,19.401748,-99.216517
barbatus,19.246105,-99.212801
barbatus,19.259412,-99.21538
barbatus,26.834444,-106.003611
barbatus,23.591667,-104.025555
barbatus,28.406111,-107.411667
barbatus,23.725439,-104.125425
barbatus,24.921111,-105.214167
barbatus,25.57535,-106.508815
barbatus,23.841667,-104.758333
barbatus,25.643056,-105.694444
barbatus,25.358696,-105.758799
barbatus,23.930556,-104.906389
barbatus,24.931111,-104.787222
barbatus,23.740833,-103.780278
barbatus,27.148333,-107.567222
barbatus,25.800306,-105.870222
barbatus,23.930556,-104.906389
barbatus,28.434444,-107.350555
barbatus,25.105318,-105.56198
barbatus,29.083056,-106.616389
barbatus,24.9275,-104.783889
barbatus,23.622222,-104.053611
barbatus,29.072222,-106.524722
barbatus,23.768611,-104.425278
barbatus,26.950556,-106.578333
barbatus,23.801111,-104.7625
barbatus,19.491667,-98.808333
barbatus,19.375,-98.875
barbatus,19.325,-98.441667
barbatus,19.9183039,-99.2379738
barbatus,17.287488,-97.687325
barbatus,17.43368,-97.457032
barbatus,17.329601,-96.454899
barbatus,19.315939,-99.186861
barbatus,20.988491,-101.373086
barbatus,28.183,-108.211083
barbatus,28.183,-108.211083
barbatus,28.183,-108.211083
barbatus,19.682833,-101.135861
barbatus,27.400556,-99.946667
barbatus,21.313854,-102.122934
barbatus,18.066667,-96.533333
barbatus,19.9,-102.36667
barbatus,19.999997,-99.247607
barbatus,32.266667,-114.816667
barbatus,18.833333,-98
barbatus,19.188333,-99.221944
barbatus,17.11667,-96.3
barbatus,16.55,-96.96
barbatus,22.174653,-101.1812
barbatus,19.97575,-100.097722
barbatus,19.97575,-100.097722
barbatus,19.293797,-99.19857
barbatus,19.293797,-99.19857
barbatus,19.503396,-99.106131
barbatus,20.984629,-101.253286
barbatus,19.257442,-99.138778
barbatus,19.73249,-99.230309
barbatus,17.289654,-96.620708
barbatus,19.573248,-99.142092
barbatus,19.250456,-99.200747
barbatus,19.262006,-99.215696
barbatus,19.565497,-99.163136
barbatus,19.586891,-99.127237
barbatus,19.262006,-99.215696
barbatus,23.901863,-105.031836
barbatus,21.327367,-99.662833
barbatus,19.262006,-99.215696
barbatus,18.907165,-98.311363
barbatus,19.326162,-98.99813
barbatus,19.572092,-99.141841
barbatus,19.262006,-99.215696
barbatus,19.262006,-99.215696
barbatus,19.591862,-99.089706
barbatus,21.200256,-101.546931
barbatus,19.260388,-99.138474
barbatus,19.070813,-98.34959
barbatus,19.410676,-99.323157
barbatus,19.288391,-99.198868
barbatus,19.289549,-99.196721
barbatus,20.84082,-100.756697
barbatus,19.26397,-99.204643
barbatus,19.296962,-99.198458
barbatus,19.296702,-99.197524
barbatus,19.304057,-99.209746
barbatus,19.304485,-99.210247
barbatus,19.296483,-99.197355
barbatus,19.296076,-99.19685
barbatus,19.407306,-99.217137
barbatus,19.304271,-99.21038
barbatus,17.8347,-99.4025
barbatus,19.304044,-99.209859
barbatus,20.242625,-103.911344
barbatus,19.296267,-99.197151
barbatus,19.304383,-99.210708
barbatus,19.295976,-99.196486
barbatus,19.296457,-99.197312
barbatus,19.288418,-99.201537
barbatus,19.316513,-99.18335
barbatus,23.679423,-104.726291
barbatus,19.408235,-99.218327
barbatus,20.070072,-101.252403
barbatus,19.263046,-99.202154
barbatus,20.183677,-101.133566
barbatus,19.556865,-99.116514
barbatus,18.907208,-98.310884
barbatus,21.379768,-101.636119
barbatus,20.499748,-101.731836
barbatus,19.583279,-99.104897
barbatus,22.3,-100.819
barbatus,19.26195,-99.136628
barbatus,19.305476,-99.173425
barbatus,19.408059,-99.217759
barbatus,21.979013,-102.355106
barbatus,19.317604,-99.194885
barbatus,20.2,-98.733333
barbatus,19.319961,-99.185362
barbatus,19.608183,-99.090339
barbatus,19.294132,-99.192467
barbatus,18.203889,-101.447222
barbatus,19.326605,-99.180458
barbatus,23.75899,-105.403278
barbatus,21.548886,-100.392385
barbatus,25.346534,-98.331957
barbatus,19.252415,-99.135963
barbatus,19.329193,-99.239729
barbatus,19.253588,-99.206842
barbatus,17.176097,-96.737258
