OBS,geometry
1,POINT (-107.5672 27.14833)
1,POINT (-107.4924 28.55514)
1,POINT (-106.5783 26.95056)
1,POINT (-106.525 25.12083)
1,POINT (-105.7594 25.35083)
1,POINT (-105.7583 25.35833)
1,POINT (-105.5978 25.08333)
1,POINT (-104.4322 20.43911)
1,POINT (-104.4322 20.43911)
1,POINT (-104.4319 20.43889)
1,POINT (-104.4058 20.20278)
1,POINT (-104.393 20.458)
1,POINT (-104.3925 20.45758)
1,POINT (-104.303 20.549)
1,POINT (-104.303 20.549)
1,POINT (-104.3028 20.54945)
1,POINT (-104.3028 20.54945)
1,POINT (-104.2031 20.20383)
1,POINT (-104.0167 20.32389)
1,POINT (-103.897 20.2913)
1,POINT (-103.8425 19.43056)
1,POINT (-103.8004 19.99468)
1,POINT (-103.7803 23.74083)
1,POINT (-103.7512 19.95)
1,POINT (-103.75 19.95)
1,POINT (-103.75 19.95)
1,POINT (-103.5642 20.72528)
1,POINT (-103.5068 20.87041)
1,POINT (-103.5067 20.86667)
1,POINT (-103.488 19.7843)
1,POINT (-103.482 19.7966)
1,POINT (-103.465 19.81833)
1,POINT (-103.45 19.57)
1,POINT (-103.4383 20.64833)
1,POINT (-103.397 20.4146)
1,POINT (-103.396 20.4139)
1,POINT (-103.396 20.4139)
1,POINT (-103.26 19.97833)
1,POINT (-103.2219 21.35)
1,POINT (-103.049 19.5843)
1,POINT (-102.5329 23.95047)
1,POINT (-100.5 25.66667)
1,POINT (-100.5 25.66667)
1,POINT (-100.417 18.85)
1,POINT (-100.3333 25)
1,POINT (-100.3321 18.89707)
1,POINT (-100.3167 18.83333)
1,POINT (-100.3088 18.88108)
1,POINT (-100.283 18.81666)
1,POINT (-100.283 18.81666)
1,POINT (-100.2108 19.04167)
1,POINT (-100.185 18.9394)
1,POINT (-100.1718 18.85249)
1,POINT (-100.1713 18.94637)
1,POINT (-100.1713 18.94637)
1,POINT (-100.17 18.85)
1,POINT (-100.17 18.85)
1,POINT (-100.17 18.85)
1,POINT (-100.17 18.85)
1,POINT (-100.1667 18.91667)
1,POINT (-100.1558 18.94083)
1,POINT (-100.1544 18.94056)
1,POINT (-100.1513 18.91955)
1,POINT (-100.1478 18.92803)
1,POINT (-100.1404 18.69139)
1,POINT (-100.1319 18.95306)
1,POINT (-100.1319 18.95306)
1,POINT (-100.13 18.97167)
1,POINT (-100.1262 18.95692)
1,POINT (-100.1254 18.95586)
1,POINT (-100.1223 18.95118)
1,POINT (-100.08 18.95)
1,POINT (-100.0617 19.10667)
1,POINT (-100.0567 19.08667)
1,POINT (-100.0455 19.05575)
1,POINT (-100.044 19.04442)
1,POINT (-100.0333 19.03333)
1,POINT (-100.0333 19.03333)
1,POINT (-100.0278 19.10222)
1,POINT (-100.0081 19.05611)
1,POINT (-100.005 19.04167)
1,POINT (-100 24)
1,POINT (-99.9964 18.99056)
1,POINT (-99.99 18.99)
1,POINT (-99.99 18.99)
1,POINT (-99.97566 19.09511)
1,POINT (-99.96889 19.03694)
1,POINT (-99.96852 19.09843)
1,POINT (-99.95444 19.08191)
1,POINT (-99.94045 19.07337)
1,POINT (-99.93917 19.08583)
1,POINT (-99.9325 19.12806)
1,POINT (-99.91444 19.09833)
1,POINT (-99.90917 19.04309)
1,POINT (-99.90496 19.07859)
1,POINT (-99.87972 19.05278)
1,POINT (-99.87805 19.05387)
1,POINT (-99.87805 19.05387)
1,POINT (-99.87 19.05)
1,POINT (-99.87 19.05)
1,POINT (-99.79867 18.93747)
1,POINT (-99.7597 18.88972)
1,POINT (-99.75 23.7)
1,POINT (-99.71222 18.60472)
1,POINT (-99.64611 18.57944)
1,POINT (-99.63917 18.58778)
1,POINT (-99.63 18.60278)
1,POINT (-99.62028 18.58694)
1,POINT (-99.61861 18.58583)
1,POINT (-99.61861 18.58583)
1,POINT (-99.61861 18.58583)
1,POINT (-99.59 18.96167)
1,POINT (-99.58389 19.42917)
1,POINT (-99.58389 19.42917)
1,POINT (-99.58 18.57194)
1,POINT (-99.58 18.57194)
1,POINT (-99.34389 18.48283)
1,POINT (-99.3424 18.46752)
1,POINT (-99.1 18.98667)
1,POINT (-99.1 18.98667)
1,POINT (-99.06148 18.99749)
1,POINT (-98.445 20.51667)
1,POINT (-94.38125 18.06347)
