OBS,geometry
1,POINT (-102.5329 23.95047)
1,POINT (-100.35 18.68333)
1,POINT (-100.295 19.11694)
1,POINT (-100.0039 17.78833)
1,POINT (-100.0039 17.78833)
1,POINT (-100 18.91667)
1,POINT (-100 18.91667)
1,POINT (-100 18.91667)
1,POINT (-99.98429 18.77005)
1,POINT (-99.93861 17.69861)
1,POINT (-99.93861 17.69861)
1,POINT (-99.93861 17.69861)
1,POINT (-99.93861 17.69861)
1,POINT (-99.88972 17.69833)
1,POINT (-99.87778 19.04639)
1,POINT (-99.83139 19.04917)
1,POINT (-99.81806 17.66917)
1,POINT (-99.81806 17.66917)
1,POINT (-99.8089 18.94031)
1,POINT (-99.8073 21.35882)
1,POINT (-99.79892 18.9383)
1,POINT (-99.79892 18.9383)
1,POINT (-99.67861 18.58083)
1,POINT (-99.6754 18.84482)
1,POINT (-99.64889 18.62945)
1,POINT (-99.645 18.64833)
1,POINT (-99.6242 18.598)
1,POINT (-99.62419 18.598)
1,POINT (-99.62092 18.56983)
1,POINT (-99.6209 18.56983)
1,POINT (-99.62083 18.56972)
1,POINT (-99.61908 18.57764)
1,POINT (-99.60805 18.59389)
1,POINT (-99.60592 18.55446)
1,POINT (-99.60512 18.55655)
1,POINT (-99.6008 18.5505)
1,POINT (-99.6 18.55)
1,POINT (-99.59015 18.6036)
1,POINT (-99.40048 18.80573)
1,POINT (-99.33167 18.46667)
1,POINT (-99.31694 18.45028)
1,POINT (-99.30306 19.03667)
1,POINT (-99.23806 18.92556)
1,POINT (-99.1 18.98333)
1,POINT (-99.1 18.98667)
1,POINT (-99.09556 19.01)
1,POINT (-99.09556 19.01)
1,POINT (-99.09556 19.01)
1,POINT (-99.09167 19.00833)
1,POINT (-99.08528 19.01667)
1,POINT (-99.08528 19.01667)
1,POINT (-99.0725 18.74472)
1,POINT (-99.0725 18.74472)
1,POINT (-99.0725 18.74472)
1,POINT (-98.95099 18.76996)
1,POINT (-98.84192 18.9817)
1,POINT (-97.98333 17.45)
1,POINT (-97.75 17.35)
1,POINT (-97.75 17.35)
1,POINT (-97.59 16.935)
1,POINT (-97.38722 17.70722)
1,POINT (-97.38722 17.70722)
