OBS,decimalLongitude,decimalLatitude
1,-101.44722,18.20389
1,-99.099363,19.005367
1,-99.0802,19.036156
1,-99.236667,20.881667
1,-99.152167,19.018972
1,-99.0875,19.017611
1,-99.152167,19.018972
1,-99.084972,19.015639
1,-99.095278,19.013333
1,-100.453333,19.853333
1,-99.239444,18.981944
1,-99.264167,18.955833
1,-99.264167,18.955833
1,-99.239444,18.981944
1,-99.095278,19.013333
1,-99.8842973,18.8514758
1,-99.268333,18.966667
1,-99.23,18.936667
1,-99.23,18.936667
1,-99.23,18.936667
1,-99.01721,18.978222
1,-98.994693,18.982816
1,-99.239444,18.981667
1,-98.984167,18.935556
