OBS,geometry
1,POINT (-101.4472 18.20389)
1,POINT (-99.09936 19.00537)
1,POINT (-99.0802 19.03616)
1,POINT (-99.23667 20.88167)
1,POINT (-99.15217 19.01897)
1,POINT (-99.0875 19.01761)
1,POINT (-99.15217 19.01897)
1,POINT (-99.08497 19.01564)
1,POINT (-99.09528 19.01333)
1,POINT (-100.4533 19.85333)
1,POINT (-99.23944 18.98194)
1,POINT (-99.26417 18.95583)
1,POINT (-99.26417 18.95583)
1,POINT (-99.23944 18.98194)
1,POINT (-99.09528 19.01333)
1,POINT (-99.8843 18.85148)
1,POINT (-99.26833 18.96667)
1,POINT (-99.23 18.93667)
1,POINT (-99.23 18.93667)
1,POINT (-99.23 18.93667)
1,POINT (-99.01721 18.97822)
1,POINT (-98.99469 18.98282)
1,POINT (-99.23944 18.98167)
1,POINT (-98.98417 18.93556)
