OBS,decimalLongitude,decimalLatitude
1,-99.166667,20.433333
1,-99.45,20.733333
1,-115.25194,32.248333
1,-101.46081,19.209111
1,-107.48111,28.214722
1,-98.733056,20.116944
1,-100.05,19.2
1,-99.5,17.5
1,-99.5,17.5
1,-100.05,19.2
1,-100.05,19.2
1,-100.05,19.2
1,-98.733056,20.116944
1,-98.733056,20.116944
1,-100.05,19.2
1,-99.166667,20.433333
1,-99.45,20.733333
1,-115.25194,32.248333
1,-100.06667,19.083333
1,-103.35083,18.688889
1,-100.32389,19.290278
1,-100.04,19.04
1,-100.05,19.03333
1,-107.4811,28.2147
1,-100.11844,19.180803
1,-108.985,28.361667
1,-107.481,28.2147
1,-103.019,19.905
1,-108.98778,28.36333
1,-104.95,21.583
1,-100.333,18.833
1,-108.98778,28.36333
1,-108.725,28.391667
1,-109.02444,28.294167
1,-109.03333,28.375
1,-108.725,28.391667
1,-99.143611,21.448611
1,-100.13608,19.243806
1,-104.16417,20.2175
1,-103.81667,20.35
1,-103.37444,20.671667
1,-116.27667,34.268333
1,-107.4811,28.2147
1,-104.15611,20.26556
1,-107.4811,28.2147
1,-97.977222,17.640278
1,-107.83333,27.5
1,-100.338,18.8583
1,-103.272,19.7131
1,-103.009,19.8716
1,-103.014,19.8711
1,-100.282,18.8924
1,-103.258,19.3815
1,-103.75,19.95
1,-103.377,19.3912
1,-100.32519,18.868611
1,-100.04978,19.019889
1,-100.50778,18.847
1,-100.06858,19.067639
1,-103.01885,19.90535
1,-100.03208,19.048722
1,-100.50083,18.838861
1,-100.04978,19.019889
1,-109.985,28.361667
1,-103.99991,23.600072
1,-103.28567,18.734397
1,-108.37222,28.421939
1,-99.239719,20.874719
1,-103.34834,18.687503
1,-100.35594,19.428349
1,-101.22423,18.049913
1,-103.46381,20.656689
1,-103.36667,18.533333
1,-104.27197,23.360811
1,-108.96147,28.3618492
1,-99.682778,17.866667
1,-99.78,17.585278
1,-99.767222,17.889444
1,-103.01833,19.913333
1,-103.30667,19.471667
1,-99.55,21.05
1,-103.01833,19.913333
1,-108.89861,28.360556
1,-100.06475,19.060083
1,-108.9933,28.362358
1,-100.33,18.83
1,-102.95833,18.728889
1,-101.21361,18.078056
1,-100.04,19.04
1,-100.05,19.03333
1,-100.06667,19.083333
1,-100.04,19.04
1,-103.35083,18.688889
1,-100.32389,19.290278
1,-108.98777,28.36333
1,-104.9,21.583333
1,-100.76917,19.607222
