OBS,geometry
1,POINT (-99.16667 20.43333)
1,POINT (-99.45 20.73333)
1,POINT (-115.2519 32.24833)
1,POINT (-101.4608 19.20911)
1,POINT (-107.4811 28.21472)
1,POINT (-98.73306 20.11694)
1,POINT (-100.05 19.2)
1,POINT (-99.5 17.5)
1,POINT (-99.5 17.5)
1,POINT (-100.05 19.2)
1,POINT (-100.05 19.2)
1,POINT (-100.05 19.2)
1,POINT (-98.73306 20.11694)
1,POINT (-98.73306 20.11694)
1,POINT (-100.05 19.2)
1,POINT (-99.16667 20.43333)
1,POINT (-99.45 20.73333)
1,POINT (-115.2519 32.24833)
1,POINT (-100.0667 19.08333)
1,POINT (-103.3508 18.68889)
1,POINT (-100.3239 19.29028)
1,POINT (-100.04 19.04)
1,POINT (-100.05 19.03333)
1,POINT (-107.4811 28.2147)
1,POINT (-100.1184 19.1808)
1,POINT (-108.985 28.36167)
1,POINT (-107.481 28.2147)
1,POINT (-103.019 19.905)
1,POINT (-108.9878 28.36333)
1,POINT (-104.95 21.583)
1,POINT (-100.333 18.833)
1,POINT (-108.9878 28.36333)
1,POINT (-108.725 28.39167)
1,POINT (-109.0244 28.29417)
1,POINT (-109.0333 28.375)
1,POINT (-108.725 28.39167)
1,POINT (-99.14361 21.44861)
1,POINT (-100.1361 19.24381)
1,POINT (-104.1642 20.2175)
1,POINT (-103.8167 20.35)
1,POINT (-103.3744 20.67167)
1,POINT (-116.2767 34.26833)
1,POINT (-107.4811 28.2147)
1,POINT (-104.1561 20.26556)
1,POINT (-107.4811 28.2147)
1,POINT (-97.97722 17.64028)
1,POINT (-107.8333 27.5)
1,POINT (-100.338 18.8583)
1,POINT (-103.272 19.7131)
1,POINT (-103.009 19.8716)
1,POINT (-103.014 19.8711)
1,POINT (-100.282 18.8924)
1,POINT (-103.258 19.3815)
1,POINT (-103.75 19.95)
1,POINT (-103.377 19.3912)
1,POINT (-100.3252 18.86861)
1,POINT (-100.0498 19.01989)
1,POINT (-100.5078 18.847)
1,POINT (-100.0686 19.06764)
1,POINT (-103.0189 19.90535)
1,POINT (-100.0321 19.04872)
1,POINT (-100.5008 18.83886)
1,POINT (-100.0498 19.01989)
1,POINT (-109.985 28.36167)
1,POINT (-103.9999 23.60007)
1,POINT (-103.2857 18.7344)
1,POINT (-108.3722 28.42194)
1,POINT (-99.23972 20.87472)
1,POINT (-103.3483 18.6875)
1,POINT (-100.3559 19.42835)
1,POINT (-101.2242 18.04991)
1,POINT (-103.4638 20.65669)
1,POINT (-103.3667 18.53333)
1,POINT (-104.272 23.36081)
1,POINT (-108.9615 28.36185)
1,POINT (-99.68278 17.86667)
1,POINT (-99.78 17.58528)
1,POINT (-99.76722 17.88944)
1,POINT (-103.0183 19.91333)
1,POINT (-103.3067 19.47167)
1,POINT (-99.55 21.05)
1,POINT (-103.0183 19.91333)
1,POINT (-108.8986 28.36056)
1,POINT (-100.0648 19.06008)
1,POINT (-108.9933 28.36236)
1,POINT (-100.33 18.83)
1,POINT (-102.9583 18.72889)
1,POINT (-101.2136 18.07806)
1,POINT (-100.04 19.04)
1,POINT (-100.05 19.03333)
1,POINT (-100.0667 19.08333)
1,POINT (-100.04 19.04)
1,POINT (-103.3508 18.68889)
1,POINT (-100.3239 19.29028)
1,POINT (-108.9878 28.36333)
1,POINT (-104.9 21.58333)
1,POINT (-100.7692 19.60722)
