OBS,decimalLongitude,decimalLatitude
1,-100.3946,25.745747
1,-101.455359,26.803462
1,-99.275861,23.621306
1,-99.725121,24.041891
1,-100.576487,25.43417
1,-100.238798,25.426857
1,-99.7,23.96667
1,-99.77833,23.9575
1,-100.667,25.467
1,-99.55778,23.97778
1,-100.78277,22.415531
1,-100.808144,22.23826
1,-99.82438,21.351683
1,-99.82438,21.351683
1,-100.786858,22.411495
1,-99.90878,23.78636
1,-99.799,21.37787
1,-100.611588,25.343433
1,-100.662928,25.453527
1,-100.662927,25.453983
1,-99.55778,23.97778
1,-99.7961,23.9709
1,-99.85,24.7
1,-99.86667,24.81667
1,-99.71222,23.96667
1,-100.725,25.40556
1,-100.7799,22.424461
1,-99.7961,23.9709
1,-100.720043,25.38994
1,-100.338076,21.903542
1,-99.716999,21.106674
1,-99.895528,23.810194
1,-100.403611,25.435278
1,-99.715235,23.993182
1,-99.844717,23.802333
1,-100.725,25.405556
1,-100.015547,23.960222
1,-99.888331,24.596669
1,-99.845,23.81
1,-99.715235,23.993182
1,-99.715235,23.993182
1,-100.279736,25.006311
1,-99.866667,24.816667
1,-99.8997022,23.8036431
1,-100.076939,24.823889
1,-99.712361,23.966667
1,-99.85,24.7
1,-99.557778,23.977778
1,-99.846389,23.949439
1,-99.528331,23.963061
1,-99.803137,24.012614
1,-99.812858,23.892967
1,-99.895528,23.810194
1,-99.814739,23.925071
1,-99.960489,23.751228
1,-99.81,24.09
1,-99.733333,23.966667
1,-99.733333,23.966667
1,-99.733333,23.966667
1,-99.88,24.61
1,-100.716667,25.416667
1,-100.07,24.82
1,-99.89,23.82
1,-99.08333,24
