OBS,geometry
1,POINT (-100.3946 25.74575)
1,POINT (-101.4554 26.80346)
1,POINT (-99.27586 23.62131)
1,POINT (-99.72512 24.04189)
1,POINT (-100.5765 25.43417)
1,POINT (-100.2388 25.42686)
1,POINT (-99.7 23.96667)
1,POINT (-99.77833 23.9575)
1,POINT (-100.667 25.467)
1,POINT (-99.55778 23.97778)
1,POINT (-100.7828 22.41553)
1,POINT (-100.8081 22.23826)
1,POINT (-99.82438 21.35168)
1,POINT (-99.82438 21.35168)
1,POINT (-100.7869 22.4115)
1,POINT (-99.90878 23.78636)
1,POINT (-99.799 21.37787)
1,POINT (-100.6116 25.34343)
1,POINT (-100.6629 25.45353)
1,POINT (-100.6629 25.45398)
1,POINT (-99.55778 23.97778)
1,POINT (-99.7961 23.9709)
1,POINT (-99.85 24.7)
1,POINT (-99.86667 24.81667)
1,POINT (-99.71222 23.96667)
1,POINT (-100.725 25.40556)
1,POINT (-100.7799 22.42446)
1,POINT (-99.7961 23.9709)
1,POINT (-100.72 25.38994)
1,POINT (-100.3381 21.90354)
1,POINT (-99.717 21.10667)
1,POINT (-99.89553 23.81019)
1,POINT (-100.4036 25.43528)
1,POINT (-99.71524 23.99318)
1,POINT (-99.84472 23.80233)
1,POINT (-100.725 25.40556)
1,POINT (-100.0155 23.96022)
1,POINT (-99.88833 24.59667)
1,POINT (-99.845 23.81)
1,POINT (-99.71524 23.99318)
1,POINT (-99.71524 23.99318)
1,POINT (-100.2797 25.00631)
1,POINT (-99.86667 24.81667)
1,POINT (-99.8997 23.80364)
1,POINT (-100.0769 24.82389)
1,POINT (-99.71236 23.96667)
1,POINT (-99.85 24.7)
1,POINT (-99.55778 23.97778)
1,POINT (-99.84639 23.94944)
1,POINT (-99.52833 23.96306)
1,POINT (-99.80314 24.01261)
1,POINT (-99.81286 23.89297)
1,POINT (-99.89553 23.81019)
1,POINT (-99.81474 23.92507)
1,POINT (-99.96049 23.75123)
1,POINT (-99.81 24.09)
1,POINT (-99.73333 23.96667)
1,POINT (-99.73333 23.96667)
1,POINT (-99.73333 23.96667)
1,POINT (-99.88 24.61)
1,POINT (-100.7167 25.41667)
1,POINT (-100.07 24.82)
1,POINT (-99.89 23.82)
1,POINT (-99.08333 24)
