OBS,geometry
1,POINT (-104.7 24.25)
1,POINT (-105.653 23.52107)
1,POINT (-104.7438 28.90137)
1,POINT (-108.9083 28.375)
1,POINT (-104.7 24.25)
1,POINT (-104.7 24.25)
1,POINT (-105.653 23.52107)
1,POINT (-99.75 25.18333)
1,POINT (-105.8724 23.59014)
1,POINT (-106.5025 28.78632)
1,POINT (-106.4954 28.79049)
1,POINT (-106.4812 28.79352)
1,POINT (-107.0256 25.68778)
1,POINT (-105.2182 23.79227)
1,POINT (-108.161 29.31792)
1,POINT (-105.8448 23.59072)
1,POINT (-105.7404 24.07625)
1,POINT (-105.3422 23.90806)
1,POINT (-108.2867 30.11167)
1,POINT (-104.8444 23.47917)
1,POINT (-105.8448 23.59072)
1,POINT (-104.9433 23.20786)
1,POINT (-108.1253 28.385)
1,POINT (-105.6722 23.71694)
1,POINT (-107.575 28.65833)
1,POINT (-104.9433 23.20786)
1,POINT (-104.9442 23.206)
1,POINT (-108.7045 29.81603)
1,POINT (-105.3522 23.90227)
1,POINT (-106.3 26.55)
1,POINT (-104.7 24.25)
1,POINT (-105.653 23.52107)
1,POINT (-104.7 24.25)
1,POINT (-104.7 24.25)
1,POINT (-104.7438 28.90137)
1,POINT (-99.75 25.18333)
1,POINT (-105.653 23.52107)
1,POINT (-108.9083 28.375)
1,POINT (-99.87 19.05)
1,POINT (-100.05 19.03333)
1,POINT (-99.87 19.05)
1,POINT (-100.0331 19.025)
1,POINT (-108.4342 29.75298)
1,POINT (-107.0478 25.95611)
1,POINT (-105.723 23.70661)
1,POINT (-106.9557 26.06827)
1,POINT (-104.9481 23.20861)
1,POINT (-108.9333 28.37361)
1,POINT (-108.287 30.1116)
1,POINT (-100.0686 19.06764)
1,POINT (-104.595 20.371)
1,POINT (-108.908 28.375)
1,POINT (-108.933 28.37361)
1,POINT (-99.49444 18.55639)
1,POINT (-99.50444 18.56417)
1,POINT (-104.183 19.88)
1,POINT (-107.6139 27.72694)
1,POINT (-108.292 28.3851)
1,POINT (-104.667 22.967)
1,POINT (-99.61861 18.58583)
1,POINT (-108.5 28.5)
1,POINT (-108.2969 29.20694)
1,POINT (-108.4201 29.33743)
1,POINT (-108.2731 29.68793)
1,POINT (-108.317 30.05)
1,POINT (-108.5 28.5)
1,POINT (-108.9228 28.39639)
1,POINT (-108.7824 29.78994)
1,POINT (-108.5 28.5)
1,POINT (-100.035 19.0219)
1,POINT (-99.881 19.0518)
1,POINT (-105.4167 23.75)
1,POINT (-104.7 23.53333)
1,POINT (-108.5556 28.44)
1,POINT (-108.3167 30.05)
1,POINT (-105.142 24.0698)
1,POINT (-99.881 19.0518)
1,POINT (-107.05 25.95)
1,POINT (-99.8791 19.0528)
1,POINT (-108.9083 28.39167)
1,POINT (-100.0933 19.04722)
1,POINT (-104.0439 21.40583)
1,POINT (-107.0478 25.95611)
1,POINT (-103.9667 20.36667)
1,POINT (-105.85 23.57083)
1,POINT (-106.6547 29.11278)
1,POINT (-104.7119 23.55444)
1,POINT (-105.3333 23.82778)
1,POINT (-105.6667 23.73333)
1,POINT (-100.044 19.04442)
1,POINT (-104.625 20.401)
1,POINT (-100.057 19.0015)
1,POINT (-104.73 20.376)
1,POINT (-103.133 19.2069)
1,POINT (-105.601 23.7295)
1,POINT (-105.592 23.7295)
1,POINT (-104.819 20.3852)
1,POINT (-104.812 20.3831)
1,POINT (-108.32 29.9658)
1,POINT (-105.142 24.0698)
1,POINT (-104.833 20.2108)
1,POINT (-104.822 20.3804)
1,POINT (-104.635 20.3831)
1,POINT (-99.881 19.0518)
1,POINT (-104.463 20.2669)
1,POINT (-104.549 19.9124)
1,POINT (-104.636 20.388)
1,POINT (-99.8791 19.0528)
1,POINT (-105.604 23.7269)
1,POINT (-104.7 23.53333)
