species,longitude,latitude
spatulatus,-116.276667,34.268333
balsensis,-96.272222,16.244444
balsensis,-96.301389,16.278333
balsensis,-97.166667,17.716667
balsensis,-97.16667,17.71667
balsensis,-97.60765,17.414992
balsensis,-97.712886,17.310386
balsensis,-97.717,17.217
balsensis,-97.718056,17.326389
balsensis,-97.804444,17.325833
balsensis,-97.83333,17.36667
balsensis,-97.83333,17.36667
balsensis,-97.833333,17.366667
balsensis,-97.841667,17.375
balsensis,-97.841667,17.375
balsensis,-97.849444,17.285833
balsensis,-97.85,17.3
balsensis,-97.858333,17.308333
balsensis,-97.87,17.28
balsensis,-97.914722,17.166667
balsensis,-97.946763,17.184091
balsensis,-98.001389,17.261389
balsensis,-98.01694,17.30022
balsensis,-98.09778,17.31
balsensis,-98.097861,17.309889
balsensis,-98.190421,17.571939
balsensis,-98.3839765,17.4984942
balsensis,-98.385,17.461667
balsensis,-98.385,17.461667
balsensis,-98.4427965,17.3733421
balsensis,-98.55613,17.194098
balsensis,-98.669722,17.052778
balsensis,-98.673611,17.241111
balsensis,-98.934363,17.561619
balsensis,-99.01833,17.58778
balsensis,-99.01833,17.58778
balsensis,-99.046111,17.563889
balsensis,-99.117966,17.592649
balsensis,-99.2508891,17.5583877
balsensis,-99.2815515,17.4655661
balsensis,-99.288333,17.589444
balsensis,-99.3663959,17.5886099
balsensis,-99.376414,17.762895
balsensis,-99.413498,17.538852
balsensis,-99.4176,17.774742
balsensis,-99.45,17.6
balsensis,-99.4697,17.543552
balsensis,-99.473583,17.537806
balsensis,-99.475764,17.526139
balsensis,-99.481111,17.357222
balsensis,-99.486111,17.457222
balsensis,-99.5,17.5
balsensis,-99.5,17.5
balsensis,-99.5,17.5
balsensis,-99.5,17.5
balsensis,-99.5,17.55
balsensis,-99.5,17.55
balsensis,-99.5,17.55
balsensis,-99.5,17.55
balsensis,-99.5,17.55
balsensis,-99.5,17.55
balsensis,-99.51667,17.38611
balsensis,-99.525,17.39167
balsensis,-99.534722,17.695
balsensis,-99.5525,17.56472
balsensis,-99.59722,17.57611
balsensis,-99.597222,17.576111
balsensis,-99.601351,17.544024
balsensis,-99.7294,17.63972
balsensis,-99.729722,17.64
balsensis,-99.74472,17.835
balsensis,-99.744722,17.835
balsensis,-99.764167,17.845
balsensis,-99.768056,17.635
balsensis,-99.770213,17.628217
balsensis,-101,22.08333
balsensis,-101,22.083333
barbatus,-95.05,17.226667
barbatus,-95.9525,16.54683
barbatus,-96.105308,17.426839
barbatus,-96.3,17.11667
barbatus,-96.3,17.11667
barbatus,-96.3,17.1167
barbatus,-96.30139,16.31917
barbatus,-96.335963,16.208919
barbatus,-96.42,16.83
barbatus,-96.43948,17.31587
barbatus,-96.451667,17.328378
barbatus,-96.454899,17.329601
barbatus,-96.4611,17.24889
barbatus,-96.493095,17.4469
barbatus,-96.532466,16.252471
barbatus,-96.533333,18.066667
barbatus,-96.533333,18.066667
barbatus,-96.534167,16.252222
barbatus,-96.534694,16.251611
barbatus,-96.535,16.226667
barbatus,-96.535,16.252
barbatus,-96.55,17.883333
barbatus,-96.551547,16.251325
barbatus,-96.61,16.2
barbatus,-96.620708,17.289654
barbatus,-96.629609,16.28917
barbatus,-96.638395,17.128675
barbatus,-96.66604,17.023878
barbatus,-96.67,17.25
barbatus,-96.67802,17.148172
barbatus,-96.684731,17.01488
barbatus,-96.687135,16.25499
barbatus,-96.692555,17.115833
barbatus,-96.698108,17.116661
barbatus,-96.699958,17.102597
