"species","longitude","latitude","geometry"
"spatulatus",-116.276667,34.268333,"POINT (-116.2767 34.26833)"
"balsensis",-96.272222,16.244444,"POINT (-96.27222 16.24444)"
"balsensis",-96.301389,16.278333,"POINT (-96.30139 16.27833)"
"balsensis",-97.166667,17.716667,"POINT (-97.16667 17.71667)"
"balsensis",-97.16667,17.71667,"POINT (-97.16667 17.71667)"
"balsensis",-97.60765,17.414992,"POINT (-97.60765 17.41499)"
"balsensis",-97.712886,17.310386,"POINT (-97.71289 17.31039)"
"balsensis",-97.717,17.217,"POINT (-97.717 17.217)"
"balsensis",-97.718056,17.326389,"POINT (-97.71806 17.32639)"
"balsensis",-97.804444,17.325833,"POINT (-97.80444 17.32583)"
"balsensis",-97.83333,17.36667,"POINT (-97.83333 17.36667)"
"balsensis",-97.83333,17.36667,"POINT (-97.83333 17.36667)"
"balsensis",-97.833333,17.366667,"POINT (-97.83333 17.36667)"
"balsensis",-97.841667,17.375,"POINT (-97.84167 17.375)"
"balsensis",-97.841667,17.375,"POINT (-97.84167 17.375)"
"balsensis",-97.849444,17.285833,"POINT (-97.84944 17.28583)"
"balsensis",-97.85,17.3,"POINT (-97.85 17.3)"
"balsensis",-97.858333,17.308333,"POINT (-97.85833 17.30833)"
"balsensis",-97.87,17.28,"POINT (-97.87 17.28)"
"balsensis",-97.914722,17.166667,"POINT (-97.91472 17.16667)"
"balsensis",-97.946763,17.184091,"POINT (-97.94676 17.18409)"
"balsensis",-98.001389,17.261389,"POINT (-98.00139 17.26139)"
"balsensis",-98.01694,17.30022,"POINT (-98.01694 17.30022)"
"balsensis",-98.09778,17.31,"POINT (-98.09778 17.31)"
"balsensis",-98.097861,17.309889,"POINT (-98.09786 17.30989)"
"balsensis",-98.190421,17.571939,"POINT (-98.19042 17.57194)"
"balsensis",-98.3839765,17.4984942,"POINT (-98.38398 17.49849)"
"balsensis",-98.385,17.461667,"POINT (-98.385 17.46167)"
"balsensis",-98.385,17.461667,"POINT (-98.385 17.46167)"
"balsensis",-98.4427965,17.3733421,"POINT (-98.4428 17.37334)"
"balsensis",-98.55613,17.194098,"POINT (-98.55613 17.1941)"
"balsensis",-98.669722,17.052778,"POINT (-98.66972 17.05278)"
"balsensis",-98.673611,17.241111,"POINT (-98.67361 17.24111)"
