species,longitude,latitude
flexuosus,-112.257084,33.875204
flexuosus,-114.361452,33.729854
flexuosus,-114.825587,36.321304
flexuosus,-114.221786,36.485737
flexuosus,-113.622658,37.153683
flexuosus,-110.782363,33.405677
flexuosus,-115.507605,36.166417
flexuosus,-113.653889,37.283056
flexuosus,-113.368816,37.264268
flexuosus,-111.388823,34.038094
flexuosus,-111.394769,34.118722
flexuosus,-115.47253,38.049949
flexuosus,-115.41054,38.22246
flexuosus,-114.44306,36.91611
flexuosus,-114.81769,37.0115
flexuosus,-115.624993,37.882632
flexuosus,-115.133222,38.088474
flexuosus,-115.281343,37.340433
flexuosus,-115.393306,37.619474
flexuosus,-108.696926,37.172428
flexuosus,-108.988865,37.33324
flexuosus,-108.988865,37.33324
flexuosus,-107.876119,37.047916
flexuosus,-108.740968,37.016917
flexuosus,-107.87431,37.1502
flexuosus,-116.322088,36.451363
flexuosus,-116.321853,36.450792
flexuosus,-116.322762,36.450537
flexuosus,-116.321533,36.450888
flexuosus,-110.378244,37.877725
flexuosus,-113.447461,37.151674
flexuosus,-109.173205,39.034614
flexuosus,-114.921082,36.152047
flexuosus,-113.537706,35.484995
flexuosus,-114.468785,35.937702
flexuosus,-113.647974,34.694925
flexuosus,-115.464723,36.103375
flexuosus,-113.370764,37.221537
flexuosus,-114.203967,37.011533
flexuosus,-108.528167,36.796439
flexuosus,-108.972972,38.196043
flexuosus,-114.523842,38.884053
flexuosus,-114.525078,38.88395
flexuosus,-108.966249,38.019848
flexuosus,-108.530403,36.791783
flexuosus,-108.995369,38.194337
flexuosus,-115.410083,36.166824
flexuosus,-112.450762,37.023272
flexuosus,-115.401145,36.053855
flexuosus,-114.414575,36.89886
flexuosus,-115.522415,36.026857
flexuosus,-115.759056,36.211605
flexuosus,-115.758438,36.212742
flexuosus,-115.482435,36.012397
flexuosus,-114.906997,36.599656
flexuosus,-109.618107,37.262415
flexuosus,-114.3935,36.749
flexuosus,-112.060073,36.723838
flexuosus,-111.773311,34.674919
flexuosus,-111.6508,35.939806
flexuosus,-111.753624,34.648861
flexuosus,-111.754172,34.868711
flexuosus,-111.6614,34.674078
flexuosus,-115.501228,36.175113
flexuosus,-115.496886,36.15655
flexuosus,-114.257528,37.066611
flexuosus,-115.288194,37.694694
flexuosus,-114.646389,38.131167
flexuosus,-114.443056,36.916111
flexuosus,-116.880893,36.694232
flexuosus,-114.858712,36.000754
flexuosus,-114.050556,37.1625
flexuosus,-113.448889,37.158889
flexuosus,-113.258028,37.221833
flexuosus,-113.854167,37.236111
flexuosus,-113.635833,37.02
flexuosus,-113.060833,37.163611
flexuosus,-113.294167,37.330278
flexuosus,-113.643056,37.011944
flexuosus,-113.99486,37.33781
flexuosus,-113.84501,38.47599
flexuosus,-114.04927,37.00077
flexuosus,-113.59583,37.1028
flexuosus,-112.50185,37.03625
flexuosus,-111.91375,37.16511
flexuosus,-109.31083,38.88066
flexuosus,-113.13888,37.88888
flexuosus,-112.50333,37.03516
flexuosus,-112.50388,37.03301
flexuosus,-114.01883,37.10133
flexuosus,-114.14546,36.52286
flexuosus,-114.25752,37.06661
flexuosus,-112.69663,37.98243
flexuosus,-114.42865,36.62766
flexuosus,-113.23306,36.18003
flexuosus,-113.049,37.6673
flexuosus,-113.74717,37.35358
flexuosus,-113.81266,37.21366
flexuosus,-112.84609,36.87925
flexuosus,-113.6775,37.14483
flexuosus,-113.89875,38.55092
flexuosus,-114.20426,36.57621
flexuosus,-109.1075,36.98833
flexuosus,-115.28819,37.69469
flexuosus,-114.15671,36.5283
flexuosus,-114.02306,37.08923
flexuosus,-113.86666,36.36305
flexuosus,-114.64638,38.13116
flexuosus,-114.22843,36.77475
flexuosus,-111.96516,36.92533
flexuosus,-111.67633,36.80283
flexuosus,-108.939476,38.184367
flexuosus,-116.722711,36.894553
flexuosus,-113.110978,36.760783
