"species","longitude","latitude","geometry"
"flexuosus",-112.257084,33.875204,"POINT (-112.2571 33.8752)"
"flexuosus",-114.361452,33.729854,"POINT (-114.3615 33.72985)"
"flexuosus",-114.825587,36.321304,"POINT (-114.8256 36.3213)"
"flexuosus",-114.221786,36.485737,"POINT (-114.2218 36.48574)"
"flexuosus",-113.622658,37.153683,"POINT (-113.6227 37.15368)"
"flexuosus",-110.782363,33.405677,"POINT (-110.7824 33.40568)"
"flexuosus",-115.507605,36.166417,"POINT (-115.5076 36.16642)"
"flexuosus",-113.653889,37.283056,"POINT (-113.6539 37.28306)"
"flexuosus",-113.368816,37.264268,"POINT (-113.3688 37.26427)"
"flexuosus",-111.388823,34.038094,"POINT (-111.3888 34.03809)"
"flexuosus",-111.394769,34.118722,"POINT (-111.3948 34.11872)"
"flexuosus",-115.47253,38.049949,"POINT (-115.4725 38.04995)"
"flexuosus",-115.41054,38.22246,"POINT (-115.4105 38.22246)"
"flexuosus",-114.44306,36.91611,"POINT (-114.4431 36.91611)"
"flexuosus",-114.81769,37.0115,"POINT (-114.8177 37.0115)"
"flexuosus",-115.624993,37.882632,"POINT (-115.625 37.88263)"
"flexuosus",-115.133222,38.088474,"POINT (-115.1332 38.08847)"
"flexuosus",-115.281343,37.340433,"POINT (-115.2813 37.34043)"
"flexuosus",-115.393306,37.619474,"POINT (-115.3933 37.61947)"
"flexuosus",-108.696926,37.172428,"POINT (-108.6969 37.17243)"
"flexuosus",-108.988865,37.33324,"POINT (-108.9889 37.33324)"
"flexuosus",-108.988865,37.33324,"POINT (-108.9889 37.33324)"
"flexuosus",-107.876119,37.047916,"POINT (-107.8761 37.04792)"
"flexuosus",-108.740968,37.016917,"POINT (-108.741 37.01692)"
"flexuosus",-107.87431,37.1502,"POINT (-107.8743 37.1502)"
"flexuosus",-116.322088,36.451363,"POINT (-116.3221 36.45136)"
"flexuosus",-116.321853,36.450792,"POINT (-116.3219 36.45079)"
"flexuosus",-116.322762,36.450537,"POINT (-116.3228 36.45054)"
"flexuosus",-116.321533,36.450888,"POINT (-116.3215 36.45089)"
"flexuosus",-110.378244,37.877725,"POINT (-110.3782 37.87772)"
"flexuosus",-113.447461,37.151674,"POINT (-113.4475 37.15167)"
"flexuosus",-109.173205,39.034614,"POINT (-109.1732 39.03461)"
"flexuosus",-114.921082,36.152047,"POINT (-114.9211 36.15205)"
"flexuosus",-113.537706,35.484995,"POINT (-113.5377 35.485)"
"flexuosus",-114.468785,35.937702,"POINT (-114.4688 35.9377)"
"flexuosus",-113.647974,34.694925,"POINT (-113.648 34.69492)"
"flexuosus",-115.464723,36.103375,"POINT (-115.4647 36.10337)"
"flexuosus",-113.370764,37.221537,"POINT (-113.3708 37.22154)"
