species,longitude,latitude
mendozae,-100.348118,22.185796
mendozae,-100.348396,22.186352
mendozae,-100.349444,22.191667
mendozae,-100.286164,22.16984
mendozae,-100.270543,22.198869
mendozae,-100.284641,22.171529
mendozae,-100.348055,22.185833
mendozae,-100.347778,22.185278
mendozae,-100.349444,22.191667
mendozae,-100.315278,22.2025
mendozae,-100.315833,22.202222
mendozae,-100.34825,22.185944
mendozae,-100.347778,22.185278
mendozae,-99.575278,22.158611
mendozae,-100.34825,22.185944
