species,temperature
ambiguus,17.2325713
balsensis,13.8752221
barbatus,15.3298415
catalinae,14.6691666
cernuus,13.6388889
clavatus,16.7189999
concolor,15.0988352
dunnii,14.8366666
exilis,13.6526943
flexuosus,13.4007778
fuscus,14.7569783
ghiesbreghtii,13.8710341
hartwegii,16.6923215
kennedyi,17.9314073
marcellae,14.7639845
mendozae,14.3302858
nigrescens,14.2375445
occidentalis,13.7161279
ownbeyi,17.1257168
palmeri,15.2932714
pringlei,13.6446989
purpureus,15.8746141
spatulatus,15.3976391
splendens,14.0794266
venustulus,16.4057588
weedii_weedii,14.590902
